team,seed,region,team_strength,adj_em,shooting_eff,scoring_balance,clutch_factor,sos,to_pct_adj,orb_pct,drb_pct,seed_score,top25_perf,ftr,ast_pct,spi,exp,dvi,opp_to_pct_adj,rpi_rim,eff_height_m,momentum,ctf,q1_record,q34_loss_rate,msrp,fragility,march_readiness,legacy_factor,net_rating,injury_rank,barthag,ppg,opp_ppg,z_rating,star_above_avg,consistency,cinderella,champ_pct
Georgia,8,Midwest,0.5939,20.48,0.53,0.4712,0.629,32.39,0.114,0.352,0.651,0.125,0.923,0.279,0.484,3.802,1.88,0.387,0.2308,0.668,2.07,0.627,0.5,0.462,0.091,0.53,0.254,0.654,-0.3,33,28,0.877,86.8,76.5,23.55,2.89,12.0,False,0.01
Ohio State,8,East,0.5861,22.06,0.5487,0.493,0.598,37.87,0.105,0.308,0.7,0.125,1.0,0.293,0.52,6.837,2.16,0.287,0.2317,0.07,2.07,0.605,0.5,0.267,0.0,0.21,0.281,0.656,-0.6,29,21,0.917,78.5,71.6,26.26,6.49,9.5,False,0.01
Kentucky,7,Midwest,0.5778,20.99,0.5155,0.4644,0.457,40.8,0.095,0.338,0.699,0.143,1.0,0.273,0.57,4.291,1.49,0.423,0.2496,0.349,2.08,0.504,0.444,0.312,0.0,0.24,0.264,0.651,-0.5,28,25,0.89,79.0,72.3,26.95,2.147,11.2,False,0.01
Alabama,4,Midwest,0.5768,24.85,0.5355,0.4575,0.714,40.73,0.0824,0.318,0.672,0.25,1.0,0.285,0.533,4.922,2.03,0.298,0.1987,0.317,2.06,0.68,0.6,0.5,0.0,0.03,0.242,0.688,-0.1,18,20,0.934,89.1,81.2,28.83,3.417,9.6,False,0.03
UCLA,7,East,0.5729,21.45,0.521,0.4705,0.624,36.27,0.0954,0.311,0.676,0.143,1.0,0.254,0.593,4.057,2.53,0.338,0.2542,0.159,2.06,0.609,0.531,0.385,0.0,0.09,0.269,0.674,0.1,31,29,0.911,75.7,69.2,25.44,2.563,9.8,False,0.01
Kansas,4,East,0.572,23.85,0.5,0.4535,0.639,41.65,0.0961,0.295,0.699,0.25,1.0,0.25,0.533,5.679,1.76,0.558,0.2258,0.534,2.05,0.457,0.717,0.5,0.0,0.06,0.213,0.703,-0.7,21,18,0.928,74.4,68.2,28.58,4.764,11.0,False,0.05
SMU,11,,0.5666,17.74,0.5358,0.4898,0.429,32.0,0.1283,0.354,0.684,0.091,1.0,0.227,0.55,5.162,2.74,0.277,0.2119,0.306,2.08,0.378,0.5,0.308,0.0,0.39,0.31,0.635,-0.4,37,48,0.861,81.1,74.7,22.34,3.175,10.7,False,0.0
South Florida,11,East,0.5655,16.39,0.4968,0.4367,0.727,18.2,0.2157,0.382,0.682,0.091,0.727,0.305,0.588,3.968,1.56,0.249,0.1325,0.529,2.02,0.802,0.5,0.4,0.158,0.39,0.333,0.651,0.1,45,42,0.835,83.5,73.3,16.74,3.904,9.4,False,0.01
Clemson,8,South,0.5635,18.88,0.5106,0.4535,0.587,31.54,0.1163,0.281,0.743,0.125,1.0,0.269,0.502,3.056,2.35,0.289,0.2137,0.203,2.07,0.509,0.5,0.5,0.0,0.35,0.326,0.674,-0.2,34,37,0.892,72.2,65.0,22.69,2.922,8.3,False,0.01
Texas A&M,10,South,0.5588,18.67,0.526,0.4581,0.715,32.47,0.1161,0.323,0.675,0.1,1.0,0.276,0.613,3.414,2.62,0.332,0.2301,0.214,2.04,0.468,0.4,0.385,0.0,0.44,0.289,0.624,-0.3,44,39,0.873,83.9,76.1,22.77,2.724,11.8,False,0.01
