rank,name,team,obpr,dbpr,bpr,poss,box_obpr,box_dbpr,box_bpr,adj_team_off_eff,adj_team_def_eff,adj_team_eff_margin,plus_minus,players,color_O,color_D,color_Diff
1065,Noah Feddersen,North Dakota State,1.2648,0.449848,1.714648,1119,1.45407806220774,-0.24879799870079,1.20528006350695,108.700936106334,103.858518981593,4.84241712474121,106,1932417,#FFF2E3,#FFF7ED,#FFF3E5
1066,Erik Pratt,Stony Brook,1.84906,-0.136024,1.713036,1686,1.82186426452311,0.10506038239568,1.92692464691879,103.784435571901,108.82746577428,-5.04303020237897,-13,1895644,#FFEDD6,#F8FBFD,#FFF3E5
1067,Shawn Phillips Jr.,Missouri,-0.338325,2.05079,1.712465,1012,-0.520343514440791,2.36443036814406,1.84408685370326,116.008394101108,100.894044080424,15.114350020684,16,1912208,#F4F8FC,#FFDCB0,#FFF3E5
1068,Tyler Spratt,Detroit,2.08623,-0.375061,1.711169,1306,2.21394239155822,0.183307157527648,2.39724954908587,109.261053088935,109.843798756805,-0.582745667870443,4,2301672,#FFEAD1,#EDF4FA,#FFF3E5
1069,Lassina Traore,Texas,0.613714,1.08548,1.699194,584,-1.01401762725042,0.890448921870239,-0.123568705380179,118.852866913085,103.550101494589,15.3027654184959,46,1722932,#FFF9F1,#FFECD5,#FFF4E6
1070,Eli Ellis,South Carolina,2.00969,-0.316366,1.693324,1264,0.925741652456632,0.544292213108944,1.47003386556558,113.51501886398,108.020582681899,5.49443618208028,-9,2480429,#FFEBD2,#F0F6FA,#FFF4E6
1071,Ethan Roberts,Penn,2.13546,-0.443442,1.692018,1192,1.33196234082818,-0.282759601089501,1.04920273973868,107.052724224424,105.969252331829,1.08347189259472,14,1933824,#FFEAD0,#EAF2F9,#FFF4E6
1072,Davian Brown,Montana State,1.83012,-0.141695,1.688425,758,2.88284871853443,-0.6970920506837,2.18575666785073,108.198454239512,104.522717615357,3.67573662415501,55,2353459,#FFEDD6,#F8FBFD,#FFF4E6
1073,Jalen Reece,LSU,1.7532,-0.0737238,1.6794762,1292,1.24581733789354,1.08234695713145,2.32816429502499,115.537227184534,107.583284879321,7.95394230521251,-63,2486086,#FFEDD8,#FBFCFE,#FFF4E6
1074,Joshua O'Garro,Cal State Northridge,1.06131,0.618132,1.679442,1995,1.24922088269439,0.523316230398461,1.77253711309285,105.478991167886,107.702973801341,-2.22398263345507,17,1602934,#FFF4E7,#FFF4E7,#FFF4E6
1075,Chase Johnston,High Point,2.41762,-0.738957,1.678663,646,3.95230785929797,-0.910023829892142,3.04228402940582,116.454180321118,107.012361930817,9.44181839030056,124,1469586,#FFE7C9,#DDEAF5,#FFF4E6
1076,Jerrell Bellamy,Troy,1.06799,0.606405,1.674395,861,0.797194511933687,0.454242204410137,1.25143671634382,112.784117727913,104.7690265588,8.01509116911257,111,2114199,#FFF4E7,#FFF4E7,#FFF4E6
1077,Omer Mayer,Purdue,2.06837,-0.396569,1.671801,802,1.78594544208111,0.103302372665251,1.88924781474637,124.456245801999,104.877554980739,19.57869082126,58,2486713,#FFEAD1,#ECF3F9,#FFF4E6
1078,Daniel Rivera,UAB,0.498295,1.17008,1.668375,1578,1.07968846156736,0.603407889358966,1.68309635092633,105.695323413842,103.537330208797,2.15799320504551,30,1927161,#FFFAF4,#FFEBD2,#FFF4E6
1079,LJ Hackman,Western Kentucky,0.594889,1.06997,1.664859,1170,0.705000464366802,0.594888075505759,1.29988853987256,106.558195321902,103.093235991893,3.46495933000908,52,2504108,#FFF9F1,#FFECD5,#FFF4E6
1080,Tylik Weeks,Southern Mississippi,1.29612,0.367641,1.663761,1961,1.58740555251503,-0.139409363473405,1.44799618904163,103.246024017161,104.660219706819,-1.41419568965784,52,2496768,#FFF2E2,#FFF8F0,#FFF4E6
1081,Braedan Lue,Kennesaw State,0.449984,1.21324,1.663224,1496,0.707345112462967,1.38991667707755,2.09726178954051,108.133567441295,107.088880354624,1.04468708667178,37,2334144,#FFFAF5,#FFEAD0,#FFF4E6
1082,Grant Newell,Western Kentucky,1.12226,0.5332,1.65546,1398,1.72593743789079,-0.11772256541246,1.60821487247834,106.491626222112,104.25530622016,2.23632000195213,51,1908909,#FFF4E6,#FFF5EA,#FFF4E6
1083,Nicholas Shogbonyo,Texas A&M-Corpus Christi,1.08771,0.566171,1.653881,1178,0.989625966970725,-0.416990301614899,0.572635665355826,102.868601679787,101.021911695052,1.84668998473516,51,2306705,#FFF4E7,#FFF5E9,#FFF4E6
1084,Imanuel Zorgvol,Youngstown State,-0.493388,2.1457,1.652312,712,-0.870337866768118,2.0144743534936,1.14413648672548,106.287127213255,104.186006317758,2.10112089549686,-12,1727644,#F0F5FA,#FFDAAC,#FFF4E6
1085,Jordan Battle,Old Dominion,1.94223,-0.290419,1.651811,1871,2.79104896736038,0.102067490443856,2.89311645780423,102.414486036637,110.256997479181,-7.8425114425446,-86,1702408,#FFECD4,#F1F6FB,#FFF4E6
1086,Mookie Cook,San Francisco,1.29566,0.355803,1.651463,846,0.751715335683512,1.38499704070866,2.13671237639218,111.451037405971,109.296499808492,2.1545375974785,-8,2112558,#FFF2E2,#FFF8F1,#FFF4E6
1087,Devin Williams,Florida Atlantic,0.00813381,1.63692,1.64505381,1327,0.860502364251485,1.3258284528359,2.18633081708739,103.617459446745,101.657575983279,1.95988346346547,5,2106224,#FFFEFE,#FFE3C0,#FFF4E6
1088,Jordan Frison,Chattanooga,2.56344,-0.922616,1.640824,1554,3.65315941030187,-0.30043900401071,3.35272040629116,103.776598139063,114.403834403886,-10.627236264823,-77,2126360,#FFE6C6,#D4E4F2,#FFF4E6
1089,Arnas Sakenis,SIU Edwardsville,-0.120143,1.75693,1.636787,1234,0.6156596726111,-0.148940073945834,0.466719598665266,97.6678681787405,97.9370338060505,-0.269165627310042,84,1933140,#FBFCFD,#FFE1BB,#FFF4E7
1090,Chase Thompson,Clemson,0.374287,1.26205,1.636337,484,0.0750698801430205,-0.338805363372626,-0.263735483229606,113.398964616348,92.6898286154721,20.7091360008756,80,2475394,#FFFBF6,#FFE9CE,#FFF4E7
1091,Max Green,Northwestern,1.30873,0.326144,1.634874,554,0.411045362329639,0.563649378964837,0.974694741294476,115.937229147916,101.631796607779,14.3054325401375,60,2299338,#FFF2E2,#FFF9F2,#FFF4E7
1092,Robert Hinton,Harvard,0.888182,0.745909,1.634091,1524,1.51790671432337,0.30352250138495,1.82142921570832,102.661553391976,102.74637289355,-0.0848195015745068,43,2292701,#FFF6EB,#FFF2E2,#FFF4E7
1093,Cam'Ron Fletcher,High Point,1.80509,-0.179956,1.625134,838,1.8595292481157,0.696445970996234,2.55597521911194,117.584752583731,110.484431700423,7.1003208833079,120,1602304,#FFEDD7,#F6F9FC,#FFF4E7
