TEAM,GAME_PF,GAME_PA,GAME_PD,H1_PF,H1_PA,H1_PD,H2_PF,H2_PA,H2_PD
UMass,80.2,77.6,2.6,36.9,34.1,2.8,43.4,43.5,-0.2
UMass-Lowell,74.9,76.3,-1.4,35.4,36.6,-1.2,39.5,39.7,-0.2
UNC Asheville,73.4,72.9,0.5,35.0,34.3,0.7,38.4,38.6,-0.2
UNC Greensboro,78.6,80.5,-1.9,36.6,36.9,-0.2,42.0,43.6,-1.6
UNC-Wilmington,77.0,67.7,9.3,36.7,32.2,4.5,40.3,35.5,4.9
UNLV,79.4,78.6,0.8,37.1,36.8,0.3,42.3,41.8,0.5
USC,78.6,77.9,0.7,36.5,35.5,1.0,42.1,42.4,-0.3
USC Upstate,74.3,73.7,0.6,33.2,33.3,-0.1,41.1,40.3,0.7
USF,87.7,75.5,12.2,42.0,35.8,6.2,45.8,39.7,6.0
UT Martin,69.8,63.2,6.6,32.3,31.8,0.5,37.5,31.4,6.1
UT-Arlington,70.0,66.7,3.3,31.0,30.5,0.5,39.0,36.2,2.8
UTEP,69.3,72.4,-3.1,32.1,34.8,-2.7,37.2,37.5,-0.4
UTRGV,75.9,69.5,6.4,36.1,31.6,4.5,39.8,37.9,1.9
UTSA,69.5,80.7,-11.3,32.5,39.5,-7.0,37.0,41.2,-4.2
Utah,74.3,79.1,-4.8,36.1,39.2,-3.1,38.2,39.9,-1.7
Utah State,82.5,70.4,12.2,38.9,33.0,5.9,43.6,37.3,6.3
Utah Tech,76.8,74.9,1.9,35.7,33.3,2.4,41.1,41.6,-0.5
Utah Valley,80.2,68.5,11.7,37.0,30.4,6.6,43.2,38.0,5.2
VCU,81.6,71.5,10.1,40.8,33.4,7.4,40.8,38.1,2.7
VMI,72.0,80.0,-8.0,34.0,38.4,-4.3,37.9,41.6,-3.7
Valparaiso,72.0,71.5,0.5,33.3,32.5,0.8,38.7,38.9,-0.2
Vanderbilt,86.4,75.2,11.1,41.9,34.3,7.6,44.4,40.9,3.5
Vermont,73.4,68.5,4.9,32.7,31.0,1.6,40.7,37.5,3.2
Villanova,77.2,70.8,6.4,36.7,32.6,4.1,40.5,38.2,2.3
Virginia,80.6,68.4,12.2,38.8,30.5,8.4,41.8,37.9,3.9
Virginia Tech,78.8,74.9,3.9,35.8,34.3,1.5,43.0,40.6,2.4
Wagner,71.3,71.7,-0.4,33.0,32.4,0.5,38.3,39.3,-0.9
Wake Forest,78.8,77.1,1.8,36.2,37.6,-1.4,42.7,39.5,3.2
Washington,76.9,73.3,3.5,34.6,35.3,-0.7,42.2,38.0,4.2
Washington State,76.1,77.5,-1.4,37.2,36.9,0.3,38.9,40.6,-1.7
Weber State,81.2,77.3,3.9,38.1,36.3,1.8,43.1,41.0,2.1
West Georgia,76.6,79.6,-3.0,36.7,35.9,0.8,39.8,43.7,-3.8
West Virginia,69.2,64.8,4.4,31.9,30.2,1.7,37.3,34.5,2.7
Western Carolina,78.5,77.3,1.1,37.9,36.1,1.8,40.5,41.2,-0.6
Western Illinois,64.9,76.8,-11.9,29.9,36.5,-6.7,35.0,40.3,-5.3
Western Kentucky,79.3,76.1,3.2,37.1,35.9,1.2,42.2,40.2,2.0
Western Michigan,74.8,79.5,-4.7,33.2,38.0,-4.8,41.6,41.5,0.1
Wichita State,77.6,70.4,7.2,35.9,32.8,3.1,41.7,37.6,4.1
William & Mary,83.1,77.7,5.4,40.8,36.8,4.0,42.4,40.9,1.4
Winthrop,83.6,75.5,8.2,39.4,35.1,4.2,44.3,40.3,3.9
Wisconsin,83.0,75.9,7.1,39.2,34.6,4.6,43.8,41.3,2.5
Wofford,78.8,77.1,1.6,36.9,36.0,0.9,41.8,41.2,0.7
Wright State,80.7,73.4,7.3,38.3,33.7,4.6,42.4,39.7,2.7
Wyoming,77.1,73.0,4.1,35.5,33.8,1.8,41.6,39.2,2.4
Xavier,78.4,80.6,-2.3,36.0,38.5,-2.5,42.3,42.1,0.2
Yale,81.8,71.0,10.8,38.7,33.4,5.3,43.1,37.6,5.5
Youngstown State,78.0,73.1,4.9,36.8,33.4,3.4,41.2,39.7,1.5
