TEAM,GAME_PF,GAME_PA,GAME_PD,H1_PF,H1_PA,H1_PD,H2_PF,H2_PA,H2_PD
Eastern Washington,78.1,79.0,-0.9,37.4,36.9,0.5,40.7,42.1,-1.4
Elon,78.1,77.9,0.3,38.5,37.2,1.3,39.6,40.7,-1.1
Evansville,67.0,76.5,-9.5,30.9,36.3,-5.4,36.1,40.2,-4.1
FIU,80.6,77.9,2.8,39.0,36.0,3.0,41.7,41.9,-0.3
Fairfield,74.4,71.5,2.8,35.3,33.6,1.7,39.1,37.9,1.1
Fairleigh Dickinson,67.2,70.2,-3.0,29.9,32.4,-2.5,37.3,37.8,-0.4
Florida,86.8,72.0,14.8,41.2,32.8,8.5,45.5,39.2,6.3
Florida A&M,69.7,74.5,-4.8,33.2,34.3,-1.1,36.5,40.2,-3.8
Florida Atlantic,78.7,74.3,4.3,36.9,34.4,2.6,41.7,40.0,1.8
Florida Gulf Coast,77.4,76.4,1.0,35.3,34.4,0.9,42.1,42.0,0.1
Florida State,79.7,76.7,3.0,38.9,36.7,2.3,40.8,40.0,0.8
Fordham,69.8,65.5,4.4,31.5,30.8,0.6,38.4,34.6,3.8
Fresno State,72.8,72.8,0.0,33.9,34.0,-0.1,38.9,38.8,0.1
Furman,76.5,70.5,6.0,36.9,33.5,3.4,39.6,37.0,2.6
Gardner-Webb,68.1,85.5,-17.3,31.1,42.1,-11.1,37.1,43.3,-6.3
George Mason,73.3,67.5,5.8,34.6,34.3,0.3,38.8,33.3,5.5
George Washington,82.1,73.7,8.3,40.3,34.0,6.4,41.7,39.8,2.0
Georgetown,73.6,72.9,0.7,34.9,34.1,0.8,38.7,38.8,-0.1
Georgia,89.8,79.2,10.7,42.7,36.8,5.9,47.1,42.3,4.8
Georgia Southern,80.9,79.7,1.2,37.8,37.1,0.7,43.1,42.6,0.5
Georgia State,70.4,74.7,-4.3,33.8,35.6,-1.8,36.7,39.1,-2.5
Georgia Tech,73.8,77.4,-3.6,34.4,37.3,-2.9,39.4,40.1,-0.8
Gonzaga,85.1,66.0,19.1,41.1,31.7,9.4,44.0,34.3,9.7
Grambling State,70.3,70.1,0.2,31.7,32.2,-0.5,38.7,37.9,0.8
