team_a,team_b,score_a,score_b,winner,region
Purdue,Texas,79,77,Purdue,West
Arizona,Arkansas,109,88,Arizona,West
Illinois,Houston,65,55,Illinois,South
Nebraska,Iowa,71,77,Iowa,South
