team_a,team_b,score_a,score_b,winner,region
Duke,St. John's,80,75,Duke,East
Michigan,Alabama,90,77,Michigan,Midwest
Connecticut,Michigan State,67,63,Connecticut,East
Iowa State,Tennessee,62,76,Tennessee,Midwest
