team,opponent,team_rank,opp_rank,opp_off_rank,opp_def_rank,date,venue,result,t_score_t,t_score_o,score_t,score_o,t_rating_t,t_rating_o,rating_t,rating_o,t_poss_t,t_poss_o,poss_t,poss_o,color_rating_t,color_rating_o
Wisconsin,Campbell,19,199,149,260,2025-11-03,home,W,96,64,79.1700308629579,62.1957476622625,137.142857142857,90.1408450704225,130.82642237246,102.576645871203,70,71,60.5153220788708,60.6334386682489,#FFE8CB,#FFF5E8
Wisconsin,Northern Illinois,19,353,360,294,2025-11-07,home,W,97,72,75.4817455207513,52.0614500462896,132.876712328767,97.2972972972973,135.085387591641,92.9754037150203,73,74,55.87706180992,55.9948631208567,#FFDBAE,#FFDFB7
Wisconsin,Ball State,19,262,314,179,2025-11-11,home,W,86,55,62.3255487343443,35.6777146007937,128.358208955224,80.8823529411765,123.080944294802,70.4538319324244,67,68,50.6378538866772,50.6398497032977,#FDFDFE,#FFAC44
Wisconsin,SIU Edwardsville,19,227,319,115,2025-11-17,home,W,94,69,74.3532411341351,51.0236835768876,140.298507462687,102.985074626866,142.279312261398,97.9739738733377,67,67,52.258645302932,52.0788139540525,#FFC57C,#FFEAD1
Wisconsin,BYU,19,40,13,46,2025-11-21,neutral,L,70,98,53.2550843977623,74.7098745347851,93.3333333333333,130.666666666667,88.3668582130871,123.385150557082,75,75,60.2659022564132,60.5501344347119,#5294CD,#BDD6EC
Wisconsin,Providence,19,72,40,168,2025-11-27,neutral,W,104,83,78.3915730828728,46.6452694489739,128.395061728395,102.469135802469,130.461250202211,80.9257469409959,81,81,60.0880130777285,57.6395908745627,#FFE9CE,#FFC479
Wisconsin,TCU,19,43,71,24,2025-11-28,neutral,L,63,74,60.722436019511,72.0502230227203,87.5,102.777777777778,92.3982814814455,107.325433118929,72,72,65.7181443701469,67.1324782289773,#5998CF,#FDFDFE
Wisconsin,Northwestern,19,59,63,79,2025-12-03,home,W,85,73,78.9396133312865,59.5541638586104,126.865671641791,107.352941176471,135.409501785771,102.244083606338,67,68,58.2969527915222,58.2470513285707,#FFDAAC,#FFF4E7
Wisconsin,Marquette,19,74,126,37,2025-12-06,home,W,96,76,77.458514944496,56.4242500129059,123.076923076923,96.2025316455696,122.438480945756,88.52021257129,78,79,63.2632113255412,63.7416567063307,#F9FBFD,#FFD5A0
Wisconsin,Nebraska,19,18,55,9,2025-12-10,away,L,60,90,48.1876547640535,71.3437255622168,88.2352941176471,132.352941176471,91.0830329804118,133.949133068568,68,68,52.9051934122755,53.2618046327303,#5294CD,#93BCE0
Wisconsin,Villanova,19,46,47,36,2025-12-19,neutral,L,66,76,57.4108073030356,67.705864709378,94.2857142857143,108.571428571429,91.8063800559991,106.485299722907,70,70,62.5346596478554,63.5823582086546,#5696CE,#FFFEFC
Wisconsin,Central Michigan,19,264,228,289,2025-12-22,home,W,88,61,59.8654554441797,33.4964325873556,131.34328358209,89.7058823529412,125.422855926245,70.2761885094157,67,68,47.7308980106334,47.6639859073571,#FFF8F1,#FFAB43
Wisconsin,Milwaukee,19,270,204,308,2025-12-30,home,W,80,60,69.0739807401899,48.8405610810848,105.263157894737,77.9220779220779,108.859996256689,76.8874549851643,76,77,63.4521248533898,63.5221455704429,#B1CEE8,#FFBA65
Wisconsin,Purdue,19,6,1,32,2026-01-03,home,L,73,89,56.1158997152859,80.0558022133911,102.816901408451,125.352112676056,101.026427385152,138.796208461187,71,71,55.5457627946697,57.678666514711,#87B4DC,#80B0DA
Wisconsin,UCLA,19,24,22,41,2026-01-06,home,W,80,72,74.4225616989624,60.8553870933601,114.285714285714,101.408450704225,120.019603287286,97.8264279647726,70,71,62.0086716340998,62.2075121819578,#ECF3F9,#FFEAD0
Wisconsin,Michigan,19,2,3,2,2026-01-10,away,W,91,88,91,88,124.657534246575,122.222222222222,124.657534246575,122.222222222222,73,72,73,72,#FFFBF6,#C2D9ED
Wisconsin,Minnesota,19,84,88,86,2026-01-13,away,W,78,75,78,75,123.809523809524,119.047619047619,123.809523809524,119.047619047619,63,63,63,63,#FFFDFC,#CEE1F1
Wisconsin,Rutgers,19,113,137,114,2026-01-17,home,W,96,87,87.7670020502455,72.54817563794,135.211267605634,120.833333333333,141.955604052176,117.512521526144,71,72,61.8270780053083,61.7365491742935,#FFC67F,#D4E5F2
Wisconsin,Penn State,19,146,92,240,2026-01-22,away,W,98,71,57.1782891146688,25.3692970487053,142.028985507246,101.428571428571,142.990100064622,63.7467239292618,69,70,39.9875859159676,39.7970209055089,#FFC377,#FF9D21
Wisconsin,USC,19,108,91,64,2026-01-25,home,L,71,73,69.9511683531886,73,109.230769230769,114.0625,108.492492540427,114.0625,65,64,64.4755841765943,64,#AFCDE7,#E2EDF6
Wisconsin,Minnesota,19,84,88,86,2026-01-28,home,W,67,63,67,63,103.076923076923,96.9230769230769,103.076923076923,96.9230769230769,65,65,65,65,#92BBDF,#FFE8CB
Wisconsin,Ohio State,19,22,14,52,2026-01-31,home,W,92,82,87.4407740190443,73.1089419891235,131.428571428571,117.142857142857,133.848602806624,113.398404468538,70,70,65.3281186247218,64.4708735821831,#FFDFB7,#E5EFF7
Wisconsin,Indiana,19,45,35,70,2026-02-07,away,L,77,78,77,78,116.666666666667,116.417910447761,116.666666666667,116.417910447761,66,67,66,67,#DAE8F4,#D9E7F4
Wisconsin,Illinois,19,8,2,23,2026-02-10,away,W,92,90,92,90,129.577464788732,125,129.577464788732,125,71,72,71,72,#FFECD4,#B7D2EA
